"","name_resultsfile","region","phenometric","indep.variable","Reanalysis_sign","Reanalysis_p","Reanalysis_coefficient","Fric_SR_Sign","Fric_SR_p","Fric_SR_coef","Fric_RR_Sign","Fric_RR_p","Fric_RR_coef"
"1","Anthocharis cardamines","Europe","onset","latitude",1,5.70136354490933e-36,3.18273886906913,1,0.028088531629341,1.54709765372749,1,0.000502486827977508,2.17672587079003
"2","Anthocharis cardamines","Europe","onset","year",-1,4.14619878263716e-14,-0.411687882430312,NA,NA,NA,NA,NA,NA
"3","Anthocharis cardamines","Europe","termination","latitude",-1,0.043789332666351,-1.04495540389304,0,0.230134877124922,1.27820455560518,0,0.890674305332228,0.140306347083357
"4","Anthocharis cardamines","Europe","termination","year",0,0.51235360871113,0.0791340325076881,NA,NA,NA,NA,NA,NA
"5","Aphantopus hyperantus","Europe","onset","latitude",1,9.9266782959122e-09,2.03538420213691,0,0.209663689504463,-1.82440855645276,0,0.617188290262775,0.66755620164793
"6","Aphantopus hyperantus","Europe","onset","year",-1,0.0425206008594974,-0.184868896108055,NA,NA,NA,NA,NA,NA
"7","Aphantopus hyperantus","Europe","termination","latitude",-1,3.24531251471582e-05,-1.25252255022489,0,0.644846844912131,0.551052729644125,0,0.148613940768012,-1.52541872536804
"8","Aphantopus hyperantus","Europe","termination","year",1,0.0275200815938478,0.173569872700324,NA,NA,NA,NA,NA,NA
"9","Aporia crataegi","Europe","onset","latitude",1,8.43111998040691e-09,6.32215436539117,0,0.736100787492623,0.123250016693006,0,0.107595035343592,0.531054771358334
"10","Aporia crataegi","Europe","onset","year",-1,0.000686209080013897,-0.632314829158789,NA,NA,NA,NA,NA,NA
"11","Aporia crataegi","Europe","termination","latitude",1,0.00550727138312682,1.47415633974274,1,0.0259534758198289,0.55768795716764,1,0.0281422557740589,0.540535977458553
"12","Aporia crataegi","Europe","termination","year",0,0.519597279223701,-0.0603472317077235,NA,NA,NA,NA,NA,NA
"13","Argynnis adippe","Europe","onset","latitude",1,2.48954451713698e-05,2.67476117190468,-1,0.0115534213842534,-1.50543809275211,0,0.287275388416012,0.505037695982052
"14","Argynnis adippe","Europe","onset","year",0,0.203818744634278,-0.167231397287968,NA,NA,NA,NA,NA,NA
"15","Argynnis adippe","Europe","termination","latitude",0,0.160315451030846,-0.452773917960748,1,0.000146532589958354,1.30384348104988,0,0.361471007455606,0.320921940253977
"16","Argynnis adippe","Europe","termination","year",1,0.0108706606453908,0.17747860166958,NA,NA,NA,NA,NA,NA
"17","Argynnis aglaja","Europe","onset","latitude",1,9.96133581850367e-06,1.69552613239428,0,0.646600195211641,-0.462750381938552,0,0.657766982183536,0.407583282409591
"18","Argynnis aglaja","Europe","onset","year",0,0.0872889213645208,-0.152672990317981,NA,NA,NA,NA,NA,NA
"19","Argynnis aglaja","Europe","termination","latitude",-1,0.018570667031547,-0.587803041912469,0,0.422619226353901,0.451206145764423,0,0.889892573804819,-0.0739592848306166
"20","Argynnis aglaja","Europe","termination","year",1,0.00021481871132547,0.22111463709416,NA,NA,NA,NA,NA,NA
"21","Argynnis niobe","Europe","onset","latitude",0,0.455529435072774,1.211245171664,-1,0.0161471100740192,-1.0665,0,0.858603660525963,-0.0758946993503753
"22","Argynnis niobe","Europe","onset","year",0,0.816890896867742,-0.0333524497436347,NA,NA,NA,NA,NA,NA
"23","Argynnis niobe","Europe","termination","latitude",0,0.538736970424981,1.24573380051814,1,1.85150128346026e-05,1.43608653905085,1,0.00291305751115317,1.10351603951282
"24","Argynnis niobe","Europe","termination","year",0,0.600800715748978,0.0944404863158744,NA,NA,NA,NA,NA,NA
"25","Argynnis paphia","Europe","onset","latitude",1,1.62152699437856e-12,4.74416025474208,0,0.987007099348503,0.0146315223238301,0,0.444979638390615,0.64032914191286
"26","Argynnis paphia","Europe","onset","year",-1,0.0121057901253761,-0.316021919155782,NA,NA,NA,NA,NA,NA
"27","Argynnis paphia","Europe","termination","latitude",-1,0.00746338482704902,-0.830465467733433,1,0.000325341142237563,1.81241198705438,0,0.159783631455824,0.722856476171985
"28","Argynnis paphia","Europe","termination","year",1,5.25862903073435e-07,0.320312198672324,NA,NA,NA,NA,NA,NA
"29","Aricia artaxerxes","Europe","onset","latitude",0,0.163438354741411,-4.31699447923614,0,0.258440554793563,-0.731819642283387,0,0.692507244396407,0.226904372606162
"30","Aricia artaxerxes","Europe","onset","year",0,0.294768071697401,-0.475794381868571,NA,NA,NA,NA,NA,NA
"31","Aricia artaxerxes","Europe","termination","latitude",0,0.255172045735017,-2.30347506440514,0,0.0555626441063509,0.817053732366041,0,0.0610518320738595,0.80522783479293
"32","Aricia artaxerxes","Europe","termination","year",0,0.457607185831607,0.220737836686354,NA,NA,NA,NA,NA,NA
"33","Boloria aquilonaris","Europe","onset","latitude",1,0.00208703044639456,1.24227602250449,0,0.546775294870218,0.360067989564395,0,0.168874558235089,0.731275438307757
"34","Boloria aquilonaris","Europe","onset","year",0,0.841479905064012,0.0162782026152225,NA,NA,NA,NA,NA,NA
"35","Boloria aquilonaris","Europe","termination","latitude",1,0.00198585902285966,1.33344514659361,1,0.000620668924799753,1.48964710118833,1,0.00321125817895364,1.32984430274605
"36","Boloria aquilonaris","Europe","termination","year",0,0.431487694636939,0.0686293454714868,NA,NA,NA,NA,NA,NA
"37","Boloria eunomia","Europe","onset","latitude",1,0.0407298181727613,4.60504301523924,0,0.885391633748457,0.135135135135135,0,0.3393058907689,0.736107729659036
"38","Boloria eunomia","Europe","onset","year",1,0.0227537163456911,1.35537541475434,NA,NA,NA,NA,NA,NA
"39","Boloria eunomia","Europe","termination","latitude",0,0.0944633447476505,2.15658699409902,1,0.000371271236570642,0.97192349332371,0,0.11566754062126,0.471598349060146
"40","Boloria eunomia","Europe","termination","year",-1,0.0428262771750195,-0.693020206234728,NA,NA,NA,NA,NA,NA
"41","Brenthis ino","Europe","onset","latitude",1,1.89237490161071e-05,3.04757480428075,-1,0.0109495677345859,-1.75583035036338,0,0.646954207990621,-0.292139510437232
"42","Brenthis ino","Europe","onset","year",-1,0.0124217317496973,-0.338037870253461,NA,NA,NA,NA,NA,NA
"43","Brenthis ino","Europe","termination","latitude",1,0.0058930971321977,1.19861404553475,1,6.44220308922588e-07,1.11975280514894,1,0.0089534643329433,0.668203248329705
"44","Brenthis ino","Europe","termination","year",0,0.0633020016049469,0.156321133226222,NA,NA,NA,NA,NA,NA
"45","Carterocephalus palaemon","Europe","onset","latitude",1,0.0293124064376713,2.37673767376735,1,2.1956626763375e-05,1.59450108579631,1,0.000639799082445706,1.38336677950198
"46","Carterocephalus palaemon","Europe","onset","year",0,0.910148080588546,0.0548197676910909,NA,NA,NA,NA,NA,NA
"47","Carterocephalus palaemon","Europe","termination","latitude",0,0.63602903750144,1.71317131713198,1,2.0104364122591e-05,1.63991849157832,1,0.000130869561082158,1.43910965325514
"48","Carterocephalus palaemon","Europe","termination","year",0,0.214333058404519,3.15057220007716,NA,NA,NA,NA,NA,NA
"49","Coenonympha tullia","Europe","onset","latitude",0,0.765790020081876,0.191786642394076,0,0.264110839449112,0.88583549915915,0,0.456210456154526,0.559194357123406
"50","Coenonympha tullia","Europe","onset","year",0,0.404606374301676,-0.0872747001739108,NA,NA,NA,NA,NA,NA
"51","Coenonympha tullia","Europe","termination","latitude",-1,0.0088584802540432,-2.39979836821874,0,0.47622945255153,-0.724116254991867,0,0.218253117933415,-1.17493992589233
"52","Coenonympha tullia","Europe","termination","year",0,0.151214297795364,0.210403702225645,NA,NA,NA,NA,NA,NA
"53","Colias palaeno","Europe","onset","latitude",1,0.00135458565550635,2.90990874246656,-1,0.00390153235469751,-1.78409090909091,0,0.874847674051385,0.0809697935222748
"54","Colias palaeno","Europe","onset","year",-1,0.0400006442620632,-0.473962476547945,NA,NA,NA,NA,NA,NA
"55","Colias palaeno","Europe","termination","latitude",1,0.00888732680065231,1.63889595717856,1,0.0107746385781377,0.987505070993914,1,0.0255536155138987,0.883377997318913
"56","Colias palaeno","Europe","termination","year",0,0.250140175967009,0.183449490219842,NA,NA,NA,NA,NA,NA
"57","Erebia ligea","Europe","onset","latitude",0,0.145551965177394,2.38666319817769,0,0.0946707220922287,-1.24473111827796,0,0.595975379135262,-0.379723695954954
"58","Erebia ligea","Europe","onset","year",0,0.43892491416248,-0.302389702401221,NA,NA,NA,NA,NA,NA
"59","Erebia ligea","Europe","termination","latitude",-1,0.0373787315351427,-1.4505310364162,1,0.0141762862353746,0.777701337861178,0,0.198381138787761,0.419464659263392
"60","Erebia ligea","Europe","termination","year",0,0.620223048868834,-0.0815928002401182,NA,NA,NA,NA,NA,NA
"61","Euphydryas maturna","Europe","onset","latitude",0,0.113321534346018,5.3574014881229,-1,0.049223548704284,-2.26938529529932,0,0.813287784318004,0.156833418702543
"62","Euphydryas maturna","Europe","onset","year",-1,0.0458081704362499,-0.608784169131411,NA,NA,NA,NA,NA,NA
"63","Euphydryas maturna","Europe","termination","latitude",0,0.0919617757723097,-7.2314548324204,1,0.000545288682069607,4.10620099786173,1,0.000389687972967434,3.6602861630259
"64","Euphydryas maturna","Europe","termination","year",0,0.150099747569325,0.545771051898627,NA,NA,NA,NA,NA,NA
"65","Glaucopsyche alexis","Europe","onset","latitude",0,0.0543833248562524,7.18397355522626,1,0.00924092896060595,1.02910233638475,0,0.073837223541312,0.630013289979533
"66","Glaucopsyche alexis","Europe","onset","year",0,0.999200307149716,-0.000569930468464433,NA,NA,NA,NA,NA,NA
"67","Glaucopsyche alexis","Europe","termination","latitude",0,0.690952145256479,1.39404992590903,1,0.0177887919617584,0.932530724855779,1,0.0201461204415534,0.895489317456444
"68","Glaucopsyche alexis","Europe","termination","year",0,0.520523250903404,0.371765644591367,NA,NA,NA,NA,NA,NA
"69","Limenitis populi","Europe","onset","latitude",1,0.00243859085013799,8.02602124872577,0,0.109931352236379,-1.26601922795374,0,0.999609428140112,0.000363115578961194
"70","Limenitis populi","Europe","onset","year",0,0.145647491652722,0.970599929770804,NA,NA,NA,NA,NA,NA
"71","Limenitis populi","Europe","termination","latitude",0,0.454367583554256,0.881083069777971,1,0.000120521867362292,2.04184773161829,0,0.0693268673164931,1.0660496743117
"72","Limenitis populi","Europe","termination","year",0,0.612988316059505,-0.15504626359223,NA,NA,NA,NA,NA,NA
"73","Lycaena hippothoe","Europe","onset","latitude",0,0.15641560654847,0.843612398807359,0,0.512561169940607,-0.420750253464009,0,0.651033877669219,0.247963187223139
"74","Lycaena hippothoe","Europe","onset","year",0,0.909674810818088,0.00900880946980576,NA,NA,NA,NA,NA,NA
"75","Lycaena hippothoe","Europe","termination","latitude",1,0.0204295186151544,1.3526166973629,0,0.546064547328682,-0.347824735860785,0,0.555519528221973,-0.3354677557328
"76","Lycaena hippothoe","Europe","termination","year",0,0.810787035170763,0.0185019958871963,NA,NA,NA,NA,NA,NA
"77","Lycaena virgaureae","Europe","onset","latitude",0,0.244683717447443,0.702664833441618,0,0.075939820012286,-1.19768345538783,0,0.571179285566621,-0.366332186978565
"78","Lycaena virgaureae","Europe","onset","year",0,0.18816041808835,-0.128333887895299,NA,NA,NA,NA,NA,NA
"79","Lycaena virgaureae","Europe","termination","latitude",0,0.283180008496709,0.396668954575173,1,0.0467190532481024,0.917423616845585,0,0.344328699885491,0.399616116493861
"80","Lycaena virgaureae","Europe","termination","year",0,0.12181566903769,0.0924416573175652,NA,NA,NA,NA,NA,NA
"81","Maniola jurtina","Europe","onset","latitude",1,2.76887024756047e-12,5.0637955892424,0,0.771926358671978,-0.378449869335202,0,0.804657806238977,-0.31637552661732
"82","Maniola jurtina","Europe","onset","year",0,0.154573290966382,-0.11324516338054,NA,NA,NA,NA,NA,NA
"83","Maniola jurtina","Europe","termination","latitude",-1,2.31115625041304e-08,-3.82900681704242,0,0.301002794752065,1.32568450884491,0,0.617874040035436,0.630738739509104
"84","Maniola jurtina","Europe","termination","year",1,0.00385986567512498,0.224750898865536,NA,NA,NA,NA,NA,NA
"85","Thymelicus lineolus","Europe","onset","latitude",1,0.00199847741200448,1.16578350079096,0,0.291830649435471,-0.988430005363576,0,0.342649852625442,0.787858572760892
"86","Thymelicus lineolus","Europe","onset","year",0,0.337943977606454,0.0898330481968662,NA,NA,NA,NA,NA,NA
"87","Thymelicus lineolus","Europe","termination","latitude",0,0.694002874911947,-0.108030054506157,1,0.0154028157257395,1.44231350958921,0,0.242618695401655,0.692666675589016
"88","Thymelicus lineolus","Europe","termination","year",0,0.891756484289204,-0.00941314575046959,NA,NA,NA,NA,NA,NA
